Area,Condo,Consideration Amount,Distance (KM),PIN,Registration Date,Year Built,Property Code,Roll Number,Street View URL,TerraNet Property Type,ID,Area In Acres,LRO Number,Use Acres,Sale Address
17,N,795000,7702.0,104330203,2023/12/21 00:00,,,,,,174,0.0,80,False,"266 WESTLAKE AVE, TORONTO, M4C4T6"
38,N,160000,1722.0,211080127,2023/12/21 00:00,,,,,,197,0.0,80,False,"87 ISABELLA ST REAR, TORONTO"
92,N,1160000,6479.0,210390090,2023/12/21 00:00,,,,,,194,0.0,80,False,"2 DOROTHY BULLEN PL, TORONTO, M4L3X8"
111,N,1750000,8751.0,101160518,2023/12/21 00:00,,,,,,149,0.0,80,False,"12 CHINOOK TRAIL, TORONTO"
127,N,1175000,5636.0,210520121,2023/12/22 00:00,,,,,,72,0.0,80,False,"19 LARCHMOUNT AVE, TORONTO, M4M2Y6"
128,N,770000,5554.0,104890260,2023/12/22 00:00,,,,,,50,0.0,80,False,"173 KANE AVE, YORK, M6M3N4"
134,N,1120000,4737.0,104860243,2023/12/22 00:00,,,,,,49,0.0,80,False,"362 MCROBERTS AVE, TORONTO, M6E4P9"
146,N,1005000,3701.0,213090554,2023/12/21 00:00,,,,,,94,0.0,80,False,"37 MOUTRAY ST, TORONTO, M6K1W3"
157,N,600000,4988.0,210490391,2023/12/21 00:00,,,,,,180,0.0,80,False,"436 JONES AVE, TORONTO, M4J3G3"
162,N,1249000,7698.0,210150070,2023/12/22 00:00,,,,,,53,0.0,80,False,"155 GLENMOUNT PARK RD, TORONTO, M4E2N3"
163,N,0,5296.0,210560443,2023/12/22 00:00,,,,,,73,0.0,80,False,"46 PAPE AVE, TORONTO, M4M2V6"
165,N,2100000,548.0,212120146,2023/12/22 00:00,,,,,,62,0.0,80,False,"77 LOWTHER AVE, TORONTO, M5R1C9"
167,N,1250000,4867.0,210590073,2023/12/21 00:00,,,,,,196,0.0,80,False,"947 GERRARD ST E, TORONTO, M4M1Z1"
172,N,1735000,3538.0,212980290,2023/12/22 00:00,,,,,,10,0.0,80,False,"87 CRAWFORD ST, TORONTO, M6J2V1"
175,N,1550000,2069.0,212360384,2023/12/22 00:00,,,,,,75,0.0,80,False,"87 OXFORD ST, TORONTO, M5T1P2"
188,N,665000,7213.0,105130543,2023/12/22 00:00,,,,,,52,0.0,80,False,"44 GREENDALE AVE, YORK, M6N4P6"
193,N,0,3229.0,213130419,2023/12/21 00:00,,,,,,193,0.0,80,False,"9 MILLICENT ST, TORONTO, M6H1W3"
193,N,1100000,4237.0,213300099,2023/12/21 00:00,,,,,,84,0.0,80,False,"82 SYMINGTON AVE, TORONTO, M6P3W1"
205,N,1225000,6118.0,210370323,2023/12/21 00:00,,,,,,187,0.0,80,False,"98 HIGHFIELD RD, TORONTO, M4L2V1"
210,N,196406,4634.0,213200643,2023/12/22 00:00,,,,,,51,0.0,80,False,"89 GILBERT AVE, TORONTO, M6E4W2"
213,N,732000,5945.0,104980056,2023/12/22 00:00,,,,,,54,0.0,80,False,"616 ROGERS RD, YORK, M6M1B8"
226,N,860900,4634.0,213200957,2023/12/22 00:00,,,,,,60,0.0,80,False,"56 PRESCOTT AVE, TORONTO, M6N3G5"
232,N,795000,7715.0,104330205,2023/12/21 00:00,,,,,,175,0.0,80,False,"266 WESTLAKE AVE, TORONTO, M4C4T6"
234,N,0,7275.0,104270423,2023/12/21 00:00,,,,,,169,0.0,80,False,"887 COSBURN AVE, TORONTO, M4C2W5"
235,N,2100000,534.0,212120144,2023/12/22 00:00,,,,,,63,0.0,80,False,"83 LOWTHER AVE, TORONTO, M5R1C9"
250,N,1525435,5084.0,213550081,2023/12/21 00:00,,,,,,79,0.0,80,False,"435 INDIAN GROVE, TORONTO, M6P2H7"
261,N,1260000,4545.0,103830179,2023/12/21 00:00,,,,,,168,0.0,80,False,"83 RANDOLPH RD, TORONTO, M4G3S1"
276,N,0,4527.0,104040251,2023/12/21 00:00,,,,,,178,0.0,80,False,"10 GERTRUDE PL, TORONTO, M4J1R2"
276,N,2,6087.0,104970335,2023/12/22 00:00,,,,,,42,0.0,80,False,"1807 KEELE ST, TORONTO, M6M3X3"
283,N,1800000,3024.0,212860512,2023/12/21 00:00,,,,,,182,0.0,80,False,"57 GLENHOLME AVE, TORONTO, M6H3A8"
291,N,1350000,4599.0,104790045,2023/12/22 00:00,,,,,,45,0.0,80,False,"1 BRANSTONE RD, YORK, M6E4E3"
295,N,2030000,7378.0,105240264,2023/12/22 00:00,,,,,,1,0.0,80,False,"12 HUMBER TRAIL, TORONTO, M6S4B9"
307,N,2,3751.0,211680388,2023/12/22 00:00,,,,,,38,0.0,80,False,"74 CASTLE KNOCK RD, TORONTO, M5N2J7"
332,N,930000,6253.0,104170150,2023/12/22 00:00,,,,,,46,0.0,80,False,"897 COXWELL AVE, EAST YORK, M4C3G1"
334,N,1900000,4827.0,211560085,2023/12/21 00:00,,,,,,157,0.0,80,False,"311 ROSEWELL AVE, TORONTO, M4R2B1"
337,N,0,4715.0,103840106,2023/12/21 00:00,,,,,,161,0.0,80,False,"293 AIRDRIE RD, EAST YORK, M4G1N4"
346,N,1989000,4823.0,213010151,2023/12/21 00:00,,,,,,139,0.0,80,False,"108 COWAN AVE, TORONTO, M6K2N4"
349,N,43310,8302.0,210050163,2023/12/21 00:00,,,,,,190,0.0,80,False,"31 HAMBLY AVE, TORONTO, M4E2R5"
358,N,710000,6655.0,105180874,2023/12/21 00:00,,,,,,183,0.0,80,False,"2451 ST CLAIR AVE W, TORONTO, M6N1K9"
389,N,1100000,6359.0,105181163,2023/12/21 00:00,,,,,,195,0.0,80,False,"313 GILMOUR AVENUE, TORONTO"
437,N,865000,9642.0,076190155,2023/12/21 00:00,,,,,,140,0.0,80,False,"150 MELROSE ST, TORONTO, M8Y1B5"
438,N,2,9980.0,101450293,2023/12/22 00:00,,,,,,15,0.0,80,False,"76 BURNDALE AVE, TORONTO, M2N1S7"
495,N,0,7144.0,213870352,2023/12/22 00:00,,,,,,7,0.0,80,False,"26 WILLARD GDNS, TORONTO, M6S1G1"
527,N,0,7042.0,102780060,2023/12/22 00:00,,,,,,35,0.0,80,False,"19 ARROWSMITH AVE, TORONTO, M6M2W8"
